nc,beta,clone_threshold,supression_threshold,newcomers_percentage,fitness_calls,best_ind,avg_ind,total_time
2,100,0.15,0.4,0.1,0,0.0,0.0,0.0
2,100,0.15,0.4,0.2,0,0.0,0.0,0.0
2,100,0.15,0.4,0.4,0,0.0,0.0,0.0
2,100,0.15,0.8,0.1,49133,0.623,0.496,65.992
2,100,0.15,0.8,0.2,63249,0.612,0.476,78.771
2,100,0.15,0.8,0.4,83066,0.626,0.469,95.889
2,100,0.15,2.0,0.1,0,0.0,0.0,0.0
2,100,0.15,2.0,0.2,0,0.0,0.0,0.0
2,100,0.15,2.0,0.4,0,0.0,0.0,0.0
2,100,0.3,0.4,0.1,0,0.0,0.0,0.0
2,100,0.3,0.4,0.2,0,0.0,0.0,0.0
2,100,0.3,0.4,0.4,0,0.0,0.0,0.0
2,100,0.3,0.8,0.1,49133,0.623,0.496,66.027
2,100,0.3,0.8,0.2,63249,0.612,0.476,79.244
2,100,0.3,0.8,0.4,83066,0.626,0.469,97.372
2,100,0.3,2.0,0.1,0,0.0,0.0,0.0
2,100,0.3,2.0,0.2,0,0.0,0.0,0.0
2,100,0.3,2.0,0.4,0,0.0,0.0,0.0
4,100,0.05,0.4,0.1,0,0.0,0.0,0.0
4,100,0.05,0.4,0.2,0,0.0,0.0,0.0
4,100,0.05,0.4,0.4,0,0.0,0.0,0.0
4,100,0.05,0.8,0.1,105576,0.615,0.485,113.109
4,100,0.05,0.8,0.2,146658,0.627,0.509,143.604
4,100,0.05,0.8,0.4,192913,0.633,0.496,186.676
4,100,0.05,2.0,0.1,0,0.0,0.0,0.0
4,100,0.05,2.0,0.2,0,0.0,0.0,0.0
4,100,0.05,2.0,0.4,0,0.0,0.0,0.0
4,100,0.15,0.4,0.1,0,0.0,0.0,0.0
4,100,0.15,0.4,0.2,0,0.0,0.0,0.0
4,100,0.15,0.4,0.4,0,0.0,0.0,0.0
4,100,0.15,0.8,0.1,105576,0.615,0.485,111.968
4,100,0.15,0.8,0.2,146658,0.627,0.509,143.46
4,100,0.15,0.8,0.4,192913,0.633,0.496,187.87
4,100,0.15,2.0,0.1,0,0.0,0.0,0.0
4,100,0.15,2.0,0.2,0,0.0,0.0,0.0
4,100,0.15,2.0,0.4,0,0.0,0.0,0.0
4,100,0.3,0.4,0.1,0,0.0,0.0,0.0
4,100,0.3,0.4,0.2,0,0.0,0.0,0.0
4,100,0.3,0.4,0.4,0,0.0,0.0,0.0
4,100,0.3,0.8,0.1,105576,0.615,0.485,112.605
4,100,0.3,0.8,0.2,146658,0.627,0.509,142.938
4,100,0.3,0.8,0.4,192913,0.633,0.496,186.223
4,100,0.3,2.0,0.1,0,0.0,0.0,0.0
4,100,0.3,2.0,0.2,0,0.0,0.0,0.0
4,100,0.3,2.0,0.4,0,0.0,0.0,0.0
8,100,0.05,0.4,0.1,0,0.0,0.0,0.0
8,100,0.05,0.4,0.2,0,0.0,0.0,0.0
8,100,0.05,0.4,0.4,0,0.0,0.0,0.0
8,100,0.05,0.8,0.1,0,0.0,0.0,0.0
8,100,0.05,0.8,0.2,0,0.0,0.0,0.0
8,100,0.05,0.8,0.4,0,0.0,0.0,0.0
8,100,0.05,2.0,0.1,0,0.0,0.0,0.0
8,100,0.05,2.0,0.2,0,0.0,0.0,0.0
8,100,0.05,2.0,0.4,0,0.0,0.0,0.0
8,100,0.15,0.4,0.1,0,0.0,0.0,0.0
8,100,0.15,0.4,0.2,0,0.0,0.0,0.0
8,100,0.15,0.4,0.4,0,0.0,0.0,0.0
