global_factor,local_factor,v_max,mutation_rate,crossover_rate,best_ind,avg_ind,fitness_calls,total_time
2.25,2.25,10.0,0.2,0.5,0.643,0.572,201,117.614
2.25,2.25,10.0,0.2,0.7,0.644,0.539,191,118.734
2.25,2.25,10.0,0.2,0.9,0.644,0.572,203,117.822
2.25,2.25,10.0,0.2,1.0,0.644,0.59,201,119.16
2.25,2.25,10.0,0.4,0.5,0.644,0.528,203,119.664
2.25,2.25,10.0,0.4,0.7,0.644,0.536,203,119.125
2.25,2.25,10.0,0.4,0.9,0.643,0.559,203,117.629
2.25,2.25,10.0,0.4,1.0,0.644,0.568,203,118.323
2.25,2.25,10.0,0.6,0.5,0.644,0.518,203,120.771
2.25,2.25,10.0,0.6,0.7,0.644,0.54,201,120.62
2.25,2.25,10.0,0.6,0.9,0.644,0.542,203,120.499
2.25,2.25,10.0,0.6,1.0,0.644,0.545,199,119.729
2.25,2.25,10.0,0.8,0.5,0.644,0.537,203,119.873
2.25,2.25,10.0,0.8,0.7,0.644,0.53,203,120.079
2.25,2.25,10.0,0.8,0.9,0.644,0.543,203,119.864
2.25,2.25,10.0,0.8,1.0,0.644,0.595,203,119.409
3.5,2.25,5.5,0.2,0.5,0.641,0.62,203,116.213
3.5,2.25,5.5,0.2,0.7,0.64,0.64,181,116.287
3.5,2.25,5.5,0.2,0.9,0.642,0.628,203,116.139
3.5,2.25,5.5,0.2,1.0,0.64,0.64,183,116.135
3.5,2.25,5.5,0.4,0.5,0.643,0.643,191,115.665
3.5,2.25,5.5,0.4,0.7,0.644,0.639,203,116.096
3.5,2.25,5.5,0.4,0.9,0.642,0.642,175,116.41
3.5,2.25,5.5,0.4,1.0,0.641,0.641,191,116.52
3.5,2.25,5.5,0.6,0.5,0.644,0.579,203,117.12
3.5,2.25,5.5,0.6,0.7,0.643,0.643,203,116.336
3.5,2.25,5.5,0.6,0.9,0.644,0.611,203,116.537
3.5,2.25,5.5,0.6,1.0,0.644,0.643,203,116.044
3.5,2.25,5.5,0.8,0.5,0.643,0.573,203,116.463
3.5,2.25,5.5,0.8,0.7,0.644,0.582,203,117.021
3.5,2.25,5.5,0.8,0.9,0.644,0.551,203,117.14
3.5,2.25,5.5,0.8,1.0,0.644,0.633,203,116.449
3.5,2.25,7.75,0.2,0.5,0.643,0.54,201,116.311
3.5,2.25,7.75,0.2,0.7,0.644,0.604,197,117.227
3.5,2.25,7.75,0.2,0.9,0.642,0.641,203,116.757
3.5,2.25,7.75,0.2,1.0,0.643,0.643,193,116.805
3.5,2.25,7.75,0.4,0.5,0.644,0.547,203,116.99
3.5,2.25,7.75,0.4,0.7,0.644,0.559,203,115.885
3.5,2.25,7.75,0.4,0.9,0.643,0.643,191,116.2
3.5,2.25,7.75,0.4,1.0,0.644,0.631,203,118.274
3.5,2.25,7.75,0.6,0.5,0.644,0.562,201,118.42
3.5,2.25,7.75,0.6,0.7,0.644,0.574,203,118.85
3.5,2.25,7.75,0.6,0.9,0.643,0.643,203,116.173
3.5,2.25,7.75,0.6,1.0,0.644,0.603,203,118.897
3.5,2.25,7.75,0.8,0.5,0.644,0.551,203,118.296
3.5,2.25,7.75,0.8,0.7,0.644,0.548,201,117.188
3.5,2.25,7.75,0.8,0.9,0.644,0.55,203,117.266
3.5,2.25,7.75,0.8,1.0,0.644,0.627,203,118.856
3.5,2.25,10.0,0.2,0.5,0.644,0.58,201,117.714
3.5,2.25,10.0,0.2,0.7,0.644,0.562,203,116.762
3.5,2.25,10.0,0.2,0.9,0.643,0.642,203,116.576
3.5,2.25,10.0,0.2,1.0,0.644,0.586,203,116.838
3.5,2.25,10.0,0.4,0.5,0.643,0.643,203,116.435
3.5,2.25,10.0,0.4,0.7,0.644,0.556,203,117.652
3.5,2.25,10.0,0.4,0.9,0.644,0.57,203,117.944
3.5,2.25,10.0,0.4,1.0,0.643,0.643,187,116.497
3.5,2.25,10.0,0.6,0.5,0.644,0.575,203,117.678
3.5,2.25,10.0,0.6,0.7,0.644,0.563,203,116.984
3.5,2.25,10.0,0.6,0.9,0.644,0.594,203,117.789
3.5,2.25,10.0,0.6,1.0,0.644,0.643,203,116.919
3.5,2.25,10.0,0.8,0.5,0.644,0.566,203,118.986
3.5,2.25,10.0,0.8,0.7,0.644,0.592,203,117.849
3.5,2.25,10.0,0.8,0.9,0.643,0.643,183,116.782
3.5,2.25,10.0,0.8,1.0,0.644,0.6,203,117.326
1.0,3.5,5.5,0.2,0.5,0.644,0.515,203,127.117
1.0,3.5,5.5,0.2,0.7,0.644,0.518,203,127.833
1.0,3.5,5.5,0.2,0.9,0.644,0.518,203,128.147
1.0,3.5,5.5,0.2,1.0,0.644,0.533,203,127.051
1.0,3.5,5.5,0.4,0.5,0.644,0.514,203,127.924
1.0,3.5,5.5,0.4,0.7,0.644,0.525,203,127.579
1.0,3.5,5.5,0.4,0.9,0.644,0.517,203,126.926
1.0,3.5,5.5,0.4,1.0,0.644,0.533,201,127.541
1.0,3.5,5.5,0.6,0.5,0.642,0.513,203,128.466
1.0,3.5,5.5,0.6,0.7,0.644,0.522,203,128.585
1.0,3.5,5.5,0.6,0.9,0.644,0.526,201,127.651
1.0,3.5,5.5,0.6,1.0,0.644,0.534,203,127.448
1.0,3.5,5.5,0.8,0.5,0.644,0.519,203,128.816
1.0,3.5,5.5,0.8,0.7,0.644,0.523,203,128.015
1.0,3.5,5.5,0.8,0.9,0.644,0.512,203,127.934
1.0,3.5,5.5,0.8,1.0,0.644,0.53,203,127.505
1.0,3.5,7.75,0.2,0.5,0.644,0.522,199,127.013
1.0,3.5,7.75,0.2,0.7,0.644,0.535,203,126.046
1.0,3.5,7.75,0.2,0.9,0.644,0.528,201,125.838
1.0,3.5,7.75,0.2,1.0,0.644,0.546,203,126.083
1.0,3.5,7.75,0.4,0.5,0.644,0.524,195,127.269
1.0,3.5,7.75,0.4,0.7,0.644,0.53,203,126.151
1.0,3.5,7.75,0.4,0.9,0.644,0.534,203,126.244
1.0,3.5,7.75,0.4,1.0,0.644,0.545,203,127.091
1.0,3.5,7.75,0.6,0.5,0.644,0.529,201,127.039
1.0,3.5,7.75,0.6,0.7,0.644,0.526,203,127.019
1.0,3.5,7.75,0.6,0.9,0.644,0.528,203,126.62
1.0,3.5,7.75,0.6,1.0,0.644,0.544,203,126.838
1.0,3.5,7.75,0.8,0.5,0.644,0.541,203,128.308
1.0,3.5,7.75,0.8,0.7,0.644,0.538,189,127.498
1.0,3.5,7.75,0.8,0.9,0.644,0.529,203,127.485
1.0,3.5,7.75,0.8,1.0,0.644,0.537,203,128.0
